response_timestamp,experience_years,Gender?,Age range?,Location?,Highest level of education?,What type of content writing do you primarily focus on? [Click all that apply],What industries do you primarily write for? [Click all that apply],How do you primarily source your clients? [Click all that apply],What's your current average monthly income from content writing? (Select the range closest to your earnings),What type of clients do you currently serve? ,What percentage of your current workflow involves AI tools?,Which AI do you often use in your workflow? [Click all that apply] ,What do you use AI for? [Click all that apply],How many days in a week do you work?,What are the biggest challenges you currently face as a content writer? [Click all that apply],What skills have become more important in the last 2 years? (Select all that apply),Would you choose content writing as a career if you were starting today?,What has contributed greatly to your success as a content writer?,What has been the most effective strategy for getting your clients? ,What trends do you see shaping content writing in Nigeria over the next 2-5 years and how are you preparing? ,Which content and industry niches do you see the most growth opportunities for content writers? ,What advice would you give to new content writers entering the field now?,How can the content writing community in Nigeria be strengthened?
2024/11/14 12:05:19 PM GMT+1,4 - 6 years,He/Him,31-35,AKURE,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content;Finance,Finance;Agency,Social media;Referrals;LinkedIn,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Jasper;Grammarly,Editing content;Outline,3 - 4 days,Finding high-paying clients;Finding jobs in favorite niche,SEO expertise;Data analysis;Research,Yes,Passion for reading.,Freelance and Remote job websites,"Keyword Fine-tuning, investigative content, Local SEO. Preparing by researching on new skills to upgrade to in content writing, and brushing up my content strategy skills, also establishing my own strictly content writing agency.","Fin-tech, Politics, Investigative Journalism",Write Daily and Keep Writing. ,"There's a Bias against using AI tools for content writing, perceived as lazy work. Content should be judged on its own merit."
2024/11/14 12:06:25 PM GMT+1,2 - 4 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Blog posts;Website content;SEO Content,SAAS;Finance;Healthcare;Education,LinkedIn,"Below ₦200,000",Nigerian companies,51-75%,Claude AI;Grammarly,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients,AI tool proficiency;SEO expertise;Content strategy,No,FCDC programs,LinkedIn…don’t ask for work. Show up strategically ,"AI trends. 

I’m using AI now",Finance,Network fast,Direct connection with HR teams of companies
2024/11/14 12:13:39 PM GMT+1,4 - 6 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Email newsletters;Technical writing;SEO Content,SAAS;Technology,Referrals;Freelance platforms;LinkedIn,"Above ₦2,000,000",International companies,26-50%,Chat GPT;Claude AI;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Market saturation,AI tool proficiency;Content strategy,Yes,"Ill say it's a continuous and never-ending willingness to learn and adapt on the go. Plus, and more importantly, access to a COMMUNITY of my peers. ","Value. Most clients I get start off the conversation with ""I saw x and x in your portfolio and was really impressed."" The work mostly speaks for itself, and I'm grateful for devoting most of my career to putting out high-quality content. Also, access to COMMUNITY cannot be overstated, as some of my highest-paying roles have come from direct referrals. ","The usage of AI is a pretty big one. But another one is the use of more diverse content formats. We'll probably see more SME-led content, real-life case studies, and stuff like that. ","Technology X SaaS. Anything product-led, really. ",Join a community as soon as you can. Devote time to honing your craft and connecting with your peers. The power of a good network can never be overstated. ,"More eventsssssssssssssss! For networking, learning, and alladat. "
2024/11/14 12:18:46 PM GMT+1,4 - 6 years,He/Him,18-30,Ibadan,Bachelor's Degree,Blog posts;Email newsletters;SEO Content,SAAS;Technology,Referrals;Freelance platforms;LinkedIn,"₦500,000 - ₦2,000,000",Both local and international,26-50%,Claude AI;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients,Content strategy,No,Transitioning into content marketing. I'm now able to think as a strategist while writing,Direct pitching,,AI and technical writing,Learn content strategy as early as you can,
2024/11/14 12:22:38 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Social media content;Email newsletters,SAAS;E-commerce,Social media;Referrals;Freelance platforms;LinkedIn;Direct pitching,"Below ₦200,000",Nigerian companies,51-75%,Chat GPT;Copy AI;Grammarly,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Competition from AI;Market saturation;Payment issues,AI tool proficiency;SEO expertise;Content strategy,Maybe,"For me i think, it would be the invention of AI. AI has helped me in coming up with content ideas, first draft amongst others which sort of gives me success.",Just applying is the only strategy I use. I have tried cold pitching several times but I've not gotten a client yet and so my best bet for now is to apply where and when I come across open positions that I fit into and also using freelance sites.,"I think the increase in demand for digital marketing content, because there would most likely be a demand for content writers with an experience in digital strategy. Also the demand for localized and relevant cultural content. We as Nigerians love a content that would naturally resonate with our cultural context and experience.

And so I think how I am preparing is by being authentic in all I do. And also learning and learning.","SaaS and the Fintech industry. The SaaS  industry continues to expand as more businesses adopt cloud-based solutions for different operations. For the Fintech industry, with the rise of finance apps, digital wallets, investment platforms etc, people are steadily looking for education on managing their finances.","Be ready to speak up. Don’t hold back anything. Write, Write and Write more. And don’t forget to build reasonable connections with those that have gone before you. And don’t let anyone offer you peanut for your service because there’s a lot that goes into that writing.",I think people that are professionals should be ready to hold the hands of junior writers without making them feeling like a burden to them. 
2024/11/14 12:34:53 PM GMT+1,2 - 4 years,He/Him,18-30,Ondo State,Bachelor's Degree,Blog posts;Website content;Technical writing;SEO Content,"SAAS;Technology;Finance;Cryptocurrency/Web3;Healthcare;E-commerce;Sports, igaming",Freelance platforms;LinkedIn;Outsourced tasks from fellow writers,"Below ₦200,000",Nigerian companies,0-25%,Chat GPT;Grammarly,"Brainstorming, organizing thoughts and conducting research.",5 - 6 days,Finding high-paying clients;Meeting deadlines & maintaining high quality standards;Light and network issues,AI tool proficiency;SEO expertise;Content strategy,Yes,My urge to always prioritize high quality.,Outsourced tasks,It gradually becomes recognized as a real job and no just a side gig.,I can't really say specifically.,"Keep writing, get better and learn how to sell yourself to client.",Nigerian clients and organization should improve their perspective of content writers and pay the more.
2024/11/14 12:36:21 PM GMT+1,4 - 6 years,He/Him,18-30,Ibadan,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content,Finance;Cryptocurrency/Web3,Freelance platforms,"₦500,000 - ₦2,000,000",International companies,0-25%,Copy AI;Grammarly,Editing content,5 - 6 days,Finding high-paying clients;Market saturation;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,No,"Mentorship, really. Being around people that know their way around the industry in terms of getting and keeping clients.",Targeting  booming industries and identifying gaps I can fill.,The industry is going to get more saturated and niched. I'm positioning myself to take advantage of my experiences in specific sectors. I also think people will tilt towards video content creation than content writing.,Travel. Finance. ,Get mentorship. It's a great edge.,"I believe that will come with organizations realizing that content writing is a serious skill, and not just stringing words together."
2024/11/14 12:54:09 PM GMT+1,4 - 6 years,She/Her,18-30,Lagos,Bachelor's Degree,Technical writing,SAAS;Technology,Social media;Referrals,"Below ₦200,000",Both local and international,26-50%,Chat GPT;Grammarly,Generating ideas,1 - 2 days,Market saturation,SEO expertise;Content strategy;AI Prompt Engineering ,Maybe,Constant learning.,Delivering a great job to an existing client.,Mastery of prompt engineering.,"Web 3
SAAS ",Be too good to be tossed aside.,"Helping each content writer understand the power of a great network of people with same interests, passion and pursuit."
2024/11/14 1:40:35 PM GMT+1,4 - 6 years,She/Her,18-30,Abuja,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Case studies,SAAS;Technology;Finance;Education;E-commerce;B2B,Social media;Referrals;LinkedIn,"₦500,000 - ₦2,000,000",Both local and international,26-50%,Chat GPT;Claude AI;Grammarly,Generating ideas,5 - 6 days,Market saturation,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,Doing my best work at all given opportunities.,"Doing excellent work. The truth is Nobody likes to test the waters for a long time. Once a client works with you and you provide excellent work, it becomes easier for them to recommend you to another person. And in this industry, everybody knows everybody no matter how much you try to hide. ","Content writers will lean into content strategy. 
AI adoption and overuse. 
Drop in quality of content created due to dependence on AI","B2B/SaaS, Cryptocurrency/Web3, Finance",Write like there was no AI. Take research seriously. Think outside the box. All the rules you learned before likely don't apply today. Your readers behaviours are changing. Be flexible and adaptable.,Information sharing based on experiences. 
2024/11/14 2:05:59 PM GMT+1,2 - 4 years,She/Her,18-30,Benin City,Secondary School Certificate,Blog posts;Website content;Social media content;Email newsletters,Healthcare,Social media;Referrals;Freelance platforms;LinkedIn,"₦200,000 - ₦500,000",Both local and international,0-25%,"Grammarly;Quillbot;Gemini, Meta AI",Generating ideas;Editing content,3 - 4 days,Connectivity issues;Payment issues,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,"Guidance from experts whether through direct coaching (buying their courses) or indirectly (leveraging their free resources). More so, the more you do something, the better you get at it.

But the key here is to be doing the right thing.",Utilising Upwork and creating targeted posts on LinkedIn and X.,,"I see a lot of writers tending toward finance and cryptocurrency. Also, the need for social media content continues to rise. Whether it's for a business or a personal brand.

Ironically, I'm more focused on the lifestyle and health niche.",Don't wait to learn all there is to learn. Utilise the resources you can access now and make the most of them.,"I've noticed that people tend to look down on the skill, ""content writing."" Well, there're of lot of opportunities available to content writers, especially since they play a major role in getting a brand seen. And we all know that if the brand isn't visible, they can't possibly make sales or grow.

So, I'd say we need to push for a mindset shift. Content writing is an essential high income skill."
2024/11/14 2:12:51 PM GMT+1,4 - 6 years,He/Him,18-30,Abuja,Bachelor's Degree,"Blog posts;Website content;Social media content;Email newsletters;Technical writing;SEO Content;Whitepapers;Case studies;Video scripts, internal newsletter",SAAS;Technology;Finance,Referrals;Direct pitching,"₦500,000 - ₦2,000,000",Nigerian companies,76-100%,"Chat GPT;Claude AI;Grammarly;Notebook LM, Descript",Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,No,"1. Being a generalist and specialising in content. 
2. Luck.",Putting yourself out there and sharing your work.,"1. Founder led content will be the rave.
2. Companies that focus on SEO now will rule the SERPs over the next few years.","Fintech
Web3
SaaS",Find actual projects you can work on. The best way to learn is to do.,I'm not sure about this. Will look forward to answers from other people.
2024/11/14 3:12:42 PM GMT+1,4 - 6 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content,Cryptocurrency/Web3;Healthcare,Social media;Referrals;Freelance platforms;LinkedIn;Direct pitching,"₦500,000 - ₦2,000,000",Both local and international,0-25%,Chat GPT;Grammarly,Generating ideas,3 - 4 days,Location restrictions ,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Yes,"Data analysis, SEO ",Pitching and referrals,I see people hiring writers that understand how to use AI and how to rank articles. Not just write ,SaaS web3 ,Learn SEO well,Collaboration 
2024/11/14 3:18:31 PM GMT+1,2 - 4 years,He/Him,18-30,Akure ,Bachelor's Degree,Blog posts;Website content;SEO Content;Whitepapers,SAAS;Cryptocurrency/Web3,Referrals;LinkedIn;Direct pitching,"₦200,000 - ₦500,000",International companies,26-50%,Chat GPT;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients,AI tool proficiency;SEO expertise;Content strategy,Yes,My willingness to improve & grow my skill set. ,"So far, referrals. I just recently started putting myself out there. ","Hmmm. I think budget cuts will overall reduce the amount of available gigs for writers. Obviously, new writers will bear the brunt. I'm upskilling, posting regularly, and establishing solid relationships to ensure I stay ahead and come to mind when there are opportunities. ","I think SaaS, e-commerce, tech, and crypto provide the most opportunities. ","Leave content mills alone. Freelancing is nice, but working in an agency or as an in-house writer is better. So, focus on improving your writing and the business aspect of your career too. ",The FCDC is doing a great job in helping writers in Subsaharan Africa and developing countries in other regions. Initiatives like that would go a long way in helping Nigerian writers upskill and gain access to better opportunities. 
2024/11/14 3:20:56 PM GMT+1,2 - 4 years,He/Him,31-35,Lagos,Masters' Degree,Blog posts;Website content;Email newsletters;Case studies,SAAS;Technology,Referrals;Freelance platforms;LinkedIn,"₦200,000 - ₦500,000",International companies,26-50%,Chat GPT;Grammarly;Quillbot;Gemini,Generating ideas;Writing first drafts;Editing content,3 - 4 days,Finding high-paying clients,AI tool proficiency;Content strategy,Maybe,"Networking. I'm never afraid to reach out, ask questions and learn from people who are more experienced. ",Putting myself out there. Let your you're a writer by writing and contributing to other people's content. ,It would become more saturated. So I have to learn additional skills to make myself more valuable. ,"Software, tech, web3, finance","Keep your head down, work hard read, and practice every day! ","More events, seminars/webinars, networking groups etc. "
2024/11/14 3:35:30 PM GMT+1,Less than 2 years,She/Her,18-30,Bayelsa,Bachelor's Degree,Blog posts;Website content;Technical writing;Case studies,SAAS,Freelance platforms;LinkedIn;Direct pitching,"₦200,000 - ₦500,000",Both local and international,51-75%,Chat GPT;Grammarly,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Connectivity issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;Content strategy,Yes,Being consistent and staying up to date with industry trends,Cold pitching ,,I write for the Saas industry so i would say Saas because thats where I’ve really grown as a content writer. But i also think wherever you find yourself just try your best to stay untop by staying up to date with current trends,"Niche down as much as possible, then explore other niches, don’t do the opposite of this or else you will be confused. This helps you connect with only people in your field instead of random writers you won’t gain real value from","I think if everyone starts being more open about the challenges they’ve faced and how they tackled them, it would build a strong community and also help upcoming content writers"
2024/11/14 3:42:53 PM GMT+1,2 - 4 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Blog posts,Healthcare;Beauty ,LinkedIn,"Below ₦200,000",Both local and international,0-25%,Grammarly,Editing content,5 - 6 days,Finding high-paying clients;Competition from AI,SEO expertise;Content strategy,Yes,Connection and expertise ,Pitching ,"The acceptance of content writing as a paying job. I prepare by speaking with founders, and putting my services out.",Tech ,"Be prepared to receive rejections, but never give up.",The content writing community in Nigeria can be strengthened by encouraging writers to stay out and keep striving.
2024/11/14 4:27:39 PM GMT+1,4 - 6 years,He/Him,18-30,Lagos,Bachelor's Degree,"Blog posts;Website content;Social media content;SEO Content;Traditional media content - billboards, flyers, etc.",SAAS;Technology;Finance;Education;E-commerce,Referrals,"₦200,000 - ₦500,000",Nigerian companies;African (non-Nigerian) companies,26-50%,Chat GPT;Copy AI;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Technological challenges;Payment issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Maybe,"Prioritising learning over money at the start of my career. This mindset opened my eyes to opportunities to volunteer, take internships, offer my services for free, and running a personal blog. Through all of it, I got depth, and built solid relationships with the people that I worked with over the years. It also gave me range that makes it easy to work in almost any industry, and expand my service offerings beyond just writing, but also strategy and consulting.","As weird as it may sound, the most effective strategy has been giving 110% at every project I get to work on. I make sure I listen to the clients needs, have the right work ethics, and build a good relationship with them that's almost like a friendship. This helps them trust and rely on me. 95% of projects I clients I get, I get by referrals and repeat clients. 

Besides this would be showing up on social media, and putting effort to build a solid portfolio. It makes it easier to pitch myself to any client that I was referred to.","The use of more AI tools - I have recently noticed a change in my creative process. Some 3/4 years back, I had to go hard in and brainstorm about my audience, do research, talk to people, and do a whole lot. But these days, I find myself relying more on AI tools. It has reduced the time I spend conducting research, and helped me stay effective, even when I feel burnt out. I mostly use AI to brainstorm, generate ideas, and review my content, and this has helped me save time, energy and other resources by far. My way of preparation would be to learn more about these AI tools, and how to use them (for instance, taking courses on prompt engineering for language model tools like ChatGPT).

There would be more and more AI tools coming up over the next 2 to 5 years, and I believe the best way to prepare wouldn't be to dismiss them for the sake of ""AI cannot do human content,"" but to embrace them, and find ways to use them to the best of their abilities, while incorporating the human part ourselves.","Web3 and Crypto.
Fintech
Artificial Intelligence","Learn how to write. It's not just a skill to make money. It is a life skill that you can apply to different areas of your life. Don't be too quick to jump on ChatGPT, or any other AI tool to assist. Go through the hard process, and learn how to actually write. Your depth and range will go a long way to determine how well you use the AI tools when the time comes, and it makes your work quality at the end of the day. 

Focus on learning, be patient, and strive for the best every time.","More community events, more joint projects, more open-source resources, more things like this, and everything else that gives this sense of belonging and ownership."
2024/11/14 5:39:08 PM GMT+1,2 - 4 years,She/Her,18-30,Delta,Bachelor's Degree,Blog posts;Website content;Social media content,Healthcare;E-commerce,Social media;Referrals;Freelance platforms,"Below ₦200,000",Both local and international,0-25%,Grammarly;Quillbot;Meta AI,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Market saturation;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,Yes,Maybe my brand building and willingness to try new things.,"Pitching myself and putting your my portfolio, as well as building a brand on twitter.","I believe cryptocurrency and finance are the new trends, and I'm trying to learn more about it.","Cryptocurrency, Finance, Web3, Health","Find a community, always write, and he ready to learn",By networking
